1st,2nd,3rd,4th,5th,count
217572,219469,221458,Null,Null,183
219469,217605,218491,218117,219978,183
219978,219469,218491,218922,Null,183
219978,217572,217605,217796,218127,183
219978,217796,218127,217572,221183,182
219469,219978,217796,218491,Null,182
219978,217572,221183,217605,217796,182
219978,217605,217572,217796,221183,182
217572,217796,219978,219469,218127,182
221183,219978,217605,Null,Null,182
219978,217796,217605,219469,Null,181
217796,217572,218491,Null,Null,181
219469,218491,219978,221183,218117,181
217572,217796,218127,219978,217605,181
219469,218491,219978,221183,217796,181
217572,217796,219978,221183,218127,180
217572,217796,219978,221183,217605,180
219469,217796,217605,Null,Null,179
217572,218127,217605,219469,221183,179
219469,217605,219978,218491,217572,179
217572,221183,219469,217605,217796,179
219978,217572,218127,217605,217796,178
219978,221183,218127,217605,Null,178
217572,219469,219978,217605,218127,178
218127,219978,221183,Null,Null,178
219469,218491,221141,219978,Null,178
219978,217796,219469,217605,217572,178
217572,218127,219469,217796,221183,178
219978,219469,221183,217572,217796,178
219978,219469,217572,221183,Null,178
219978,218127,217572,217796,217605,177
217572,219978,219469,221183,217796,177
217572,217796,219978,219469,221183,177
217572,219469,217605,217796,221183,177
217572,219469,221183,217605,219978,176
217572,219978,218127,217796,217605,176
219978,218127,221183,217605,217796,176
219978,217796,218127,221183,217605,175
219978,217796,217572,217605,218127,175
219978,217572,217605,217796,219469,175
219469,219978,218491,217796,217605,174
217572,217605,219469,218127,221183,174
217572,221183,219469,217605,218127,174
217572,219469,217605,218127,219978,174
219978,217796,219469,217572,Null,174
219469,219978,217572,218491,Null,174
219978,217605,218127,221183,219469,173
217572,218117,Null,Null,Null,173
217572,219469,217796,217605,218127,173
219469,218491,219978,217796,217572,173
219469,219978,217796,217572,217605,173
219978,219469,218491,217572,217796,173
217572,219978,218127,221183,217605,172
217796,217572,219978,219469,217605,172
219978,217796,217605,219469,221183,172
217796,217572,219978,217605,221183,172
219978,219469,217572,217605,218491,172
219978,217796,217572,221183,218127,172
217572,217796,219469,219978,218127,172
218127,219469,217572,Null,Null,171
217572,217605,219978,221183,217796,171
219469,218491,217605,221141,218117,171
219978,217605,221183,217572,217796,171
219469,219978,218491,221141,218117,171
219978,217605,217572,218127,221183,170
217796,219469,217605,Null,Null,170
221183,219978,219469,Null,Null,169
219469,219978,217572,217605,Null,169
217796,219978,217605,217572,Null,169
217572,219978,219469,218127,221183,169
219469,218491,219978,218117,217605,169
217572,219978,217796,219469,Null,169
219978,217796,219469,221183,217605,168
219978,217796,219469,221183,Null,168
219978,217605,217796,221183,Null,168
219469,217796,218491,Null,Null,168
219978,217572,219469,217605,221183,168
217572,219469,217605,218127,Null,168
218491,219978,219469,Null,Null,168
219469,219978,217572,218491,217796,168
219469,217605,218491,221141,219978,168
217572,219978,218127,221183,Null,168
219978,221183,217605,217796,219469,167
219978,221183,218127,217605,217796,167
217572,219978,221183,217796,217605,167
219469,218491,218117,219978,Null,167
219978,218127,221183,217572,217796,167
217572,219978,217605,219469,221183,167
217572,219978,217605,217796,218127,167
217572,217796,219469,218491,219978,167
219469,219978,217796,217605,217572,167
217572,Write-in,Null,Null,Null,166
219469,217572,217796,219978,218491,166
221183,217796,219978,Null,Null,166
218127,221183,Null,Null,Null,166
219978,219469,218491,221183,217796,165
217572,219469,217796,217605,218491,165
217572,219978,218127,217605,217796,165
219978,217572,217796,221183,Null,165
219469,219978,218491,221141,217605,165
217572,218127,219978,221183,217796,165
219469,217572,217796,217605,219978,164
219978,217605,221183,217796,218127,164
219469,218491,219978,218922,218117,164
217572,219978,221183,217796,218127,164
219469,219978,217572,217605,221183,164
217572,218127,221183,219469,217796,164
219469,218117,219978,Null,Null,163
219978,221183,217605,217796,217572,163
217572,217605,218127,219469,221183,163
217572,219978,217796,219469,218491,163
217796,219978,217572,217605,219469,163
219469,217572,219978,217796,217605,162
219978,219469,221141,Null,Null,162
217572,219469,221183,218127,218491,162
219978,217796,217572,221183,Null,162
219469,218491,219978,217572,217605,162
219978,221183,218127,217796,Null,161
219469,217605,221183,219978,218491,161
219978,217572,217605,218127,217796,161
217796,219978,221183,217605,Null,161
217572,219469,217796,218491,219978,161
217572,217796,219978,217605,218491,161
217572,217796,218922,Null,Null,160
219978,217605,221183,219469,218491,160
219469,219978,217572,217605,218491,160
217572,217796,217605,219978,221183,160
219978,221183,219469,217605,217572,160
219978,218127,217572,221183,217605,160
219978,219469,217605,218491,218117,160
219469,219978,217605,217572,218491,159
217572,219469,217605,217796,218127,159
217796,219978,217572,219469,217605,159
217572,217796,219469,219978,218491,159
219978,219469,217796,217605,218491,159
219469,218491,219978,221141,217605,159
219978,217796,217605,221183,217572,159
217572,219978,217796,219469,221183,159
219978,219469,217796,221183,217605,159
217572,217796,219469,218127,217605,159
219978,217796,217605,217572,221183,158
217796,217572,219978,217605,219469,158
217572,217796,219469,219978,Null,158
219978,217572,221183,217796,218127,158
217605,219978,219469,221183,217796,158
219978,219469,217796,217572,221183,157
219469,219978,221183,217605,218127,157
219469,217605,219978,218117,Null,157
217572,217796,219469,217605,Null,157
217572,219469,217605,219978,218127,157
218491,219978,217796,Null,Null,156
217572,221183,218127,217605,Null,156
219978,219469,221183,217572,217605,156
219978,217796,219469,217572,217605,156
219978,217605,217796,221183,219469,156
219978,218127,217572,221183,Null,155
