CandidacyID,DefaultBallotName
221270,Devian Shondel Daniels
221275,Francis E. Spangenberg
221279,Ruben D. Vargas
221281,Lucy J. Lang
221282,George Espinal
221283,Keith L. Harris
221284,Maud Maron
221285,Thomas A. Leon
221286,Rodrigo G. Camarena
221287,Regina A. Kinsey
221288,Binyomin Zev Bendet
221289,Al-Hassan Kanu
221290,Anthony L. Herbert
221291,Victor Swinton
221292,Kim Council
221293,Zach Iscol
221294,Ahmadou T. Diallo
221295,Athena Moore
221303,Maria Danzilo
221305,Denny R. Salas
221307,John F. McBeth Sr.
221311,Leticia M. Remauro
221314,Sam T. Pirozzolo
221325,David Hernandez
221327,Koshy O. Thomas
221338,Craig Tyson
221341,Deirdre M. Levy
221343,Susan B. Erlebacher
221370,Luis R. Sepulveda
221371,Mirza M. Rashid
221381,John Williams
221386,Lamor Miller-Whitehead
221407,Joseph Packer
221424,Rebecca N. Lamorte
221428,Monique S. Johnson
221429,Oswald Feliz
221431,Scott Murphy
221434,Vivia M. Morgan
221435,Heshy Tischler
221436,Amber L. Adler
221439,Reginald Swiney
221440,Jermaine Sean Smith
221443,Vito Fossella
221445,Sean C. Hayes
221447,Latchmi Devi Gopal
221449,Troy Blackwell
221450,Dawn A. Anatra
221451,John Perez
221453,Nabaraj KC
221454,Tirso S. Pina
221455,Michael Beltzer
221456,Jonathan Bailey
221458,Isaac Wright Jr.
221461,Yves T. Filius
221462,Daniel Padernacht
221463,Guillermo A. Perez
221464,Kimberly R. Watkins
221466,Elizabeth R. Caputo
221467,Francesca M. Castellanos
221468,Argentina M. Cruz
221469,Helen Hines
221470,Antoinette D. Glover
221471,William H. Salgado
221472,David Aiken
221473,Antoinette D. Glover
221474,Erin Hussein
221478,Miguel Estrella
221479,Robert V. Cassara
221482,Shanequa Moore
221485,Yadhira Gonzalez-Taylor
221486,Haile Rivera
221488,Saifur R. Khan
221489,David Sepiashvili
221490,Radhakrishna Mohan
221519,Sheba T. Simpson-Amsterdam
221522,Talea E. Wufka
221525,Peggy A. Morales
221526,Sheryl Ann Fetik
221528,Jhong U. Kim
221529,Marko Kepi
221532,Monisha Mapp
221535,Bella A. Matias
221539,Felix Suriel
221540,joseelin Mejia
221541,Awilda Brito
221542,Terri Liftin
221543,Sabrina Alvarez
221544,Violeta Cuello
221545,Leroy Gadsden
221546,Silvio Diaz
221547,George Alvarez
221550,Auilda Acosta
221551,Maxi Eugene
221554,Eliu A. Lara
221556,Brandon P. Stradford
221557,Linda Guillebeaux
221558,Victoria Lee
221570,Darlene Jackson
221573,Heriberto Mateo
221574,Keith L. Harris
221578,Yodalis Moran
221579,Mathieu Eugene
221582,Huascar Soto
221583,Harry Rodriguez
221584,Juana G. Pena
221587,Juan Palau
221588,Judith Martinez
221589,Felix Perdomo
221590,Socrates Solano
221591,Emmanuel Findley
221592,Kathi Davis
221593,Delaney Johnson
221594,Aramis Ocasio
221626,Irene Estrada
221630,Virginia M. Kee
221631,Leonel Baez
221632,Justice Z. Cruz
221634,Hei Man Chan
221635,Jeanine Williams
221643,Bernadette McNear
221654,Patricia G. Moses
